"Okres sprawozdawczy:";"Dane roczne";
"Kategoria:";"NARODOWE SPISY POWSZECHNE";
"Grupa:";"NSP 2011 - LUDNOŚĆ";
"Podgrupa:";"Ludność wg płci i lokalizacji";
"Wymiary:";"Lokalizacje, Płeć, Lata";

"Kod";"Jednostka terytorialna";"ogółem";"ogółem";"ogółem";
;;"ogółem";"mężczyźni";"kobiety";
;;"2011";"2011";"2011";
;;"[osoba]";"[osoba]";"[osoba]";
"2404052";"Kłomnice * (2)";"13810";"6693";"7117";
"2404063";"Koniecpol * (3)";"10173";"5056";"5117";
"2404072";"Konopiska * (2)";"10610";"5150";"5460";
"2404082";"Kruszyna * (2)";"4928";"2441";"2487";
"2404092";"Lelów * (2)";"5071";"2545";"2526";
"2404102";"Mstów * (2)";"10568";"5226";"5342";
"2404112";"Mykanów * (2)";"14557";"7247";"7310";
"2404122";"Olsztyn * (2)";"7869";"3905";"3964";
"2404132";"Poczesna * (2)";"12782";"6240";"6542";
"2404142";"Przyrów * (2)";"3972";"1990";"1982";
"2404152";"Rędziny * (2)";"10013";"4908";"5105";
"2404162";"Starcza * (2)";"2791";"1361";"1430";
"2405011";"Knurów * (1)";"39595";"19421";"20174";
"2405021";"Pyskowice * (1)";"18770";"9014";"9756";
"2405032";"Gierałtowice * (2)";"11074";"5335";"5739";
"2405042";"Pilchowice * (2)";"11003";"5381";"5622";
"2405052";"Rudziniec * (2)";"10581";"5171";"5410";
"2405063";"Sośnicowice * (3)";"8533";"4078";"4455";
"2405073";"Toszek * (3)";"9541";"4676";"4865";
"2405082";"Wielowieś * (2)";"5933";"2851";"3082";
"2406013";"Kłobuck * (3)";"20681";"10025";"10656";
"2406023";"Krzepice * (3)";"9397";"4643";"4754";
"2406032";"Lipie * (2)";"6474";"3203";"3271";
"2406042";"Miedźno * (2)";"7593";"3734";"3859";
"2406052";"Opatów * (2)";"6887";"3407";"3480";
"2406062";"Panki * (2)";"5112";"2527";"2585";
"2406072";"Popów * (2)";"6060";"3024";"3036";
"2406082";"Przystajń * (2)";"6002";"2979";"3023";
"2406092";"Wręczyca Wielka * (2)";"17508";"8663";"8845";
"2407011";"Lubliniec * (1)";"24394";"11969";"12425";
"2407022";"Boronów * (2)";"3334";"1658";"1676";
"2407032";"Ciasna * (2)";"7821";"3845";"3976";
"2407042";"Herby * (2)";"6973";"3463";"3510";
"2407052";"Kochanowice * (2)";"6752";"3289";"3463";
"2407062";"Koszęcin * (2)";"11745";"5778";"5967";
"2407072";"Pawonków * (2)";"6544";"3258";"3286";
"2407083";"Woźniki * (3)";"9652";"4789";"4863";
"2408011";"Łaziska Górne * (1)";"22279";"10794";"11485";
"2408021";"Mikołów * (1)";"39505";"19077";"20428";
"2408031";"Orzesze * (1)";"19539";"9666";"9873";
"2408042";"Ornontowice * (2)";"5733";"2841";"2892";
"2408052";"Wyry * (2)";"7149";"3514";"3635";
"2409011";"Myszków * (1)";"32817";"15760";"17057";
"2409023";"Koziegłowy * (3)";"14353";"6975";"7378";
"2409032";"Niegowa * (2)";"5747";"2879";"2868";
"2409042";"Poraj * (2)";"10866";"5236";"5630";
"2409053";"Żarki * (3)";"8301";"4065";"4236";
"2410012";"Goczałkowice-Zdrój * (2)";"6566";"3174";"3392";
"2410022";"Kobiór * (2)";"4884";"2445";"2439";
"2410032";"Miedźna * (2)";"16053";"8089";"7964";
"2410042";"Pawłowice * (2)";"17918";"8893";"9025";
"2410053";"Pszczyna * (3)";"50875";"24688";"26187";
"2410062";"Suszec * (2)";"11519";"5686";"5833";
"2411011";"Racibórz * (1)";"56289";"26825";"29464";
"2411022";"Kornowac * (2)";"4940";"2426";"2514";
"2411033";"Krzanowice * (3)";"5944";"2902";"3042";
"2411042";"Krzyżanowice * (2)";"11433";"5501";"5932";
"2411053";"Kuźnia Raciborska * (3)";"12081";"6045";"6036";
"2411062";"Nędza * (2)";"7231";"3509";"3722";
"2411072";"Pietrowice Wielkie * (2)";"7022";"3340";"3682";
"2411082";"Rudnik * (2)";"5159";"2494";"2665";
"2412013";"Czerwionka-Leszczyny * (3)";"41929";"20614";"21315";
"2412022";"Gaszowice * (2)";"9104";"4488";"4616";
"2412032";"Jejkowice * (2)";"3936";"1979";"1957";
"2412042";"Lyski * (2)";"9456";"4628";"4828";
"2412052";"Świerklany * (2)";"11669";"5730";"5939";
"2413011";"Kalety * (1)";"8676";"4237";"4439";
"2413021";"Miasteczko Śląskie * (1)";"7524";"3660";"3864";
"2413031";"Radzionków * (1)";"17203";"8341";"8862";
"2413041";"Tarnowskie Góry * (1)";"60847";"29288";"31559";
"2413052";"Krupski Młyn * (2)";"3369";"1655";"1714";
"2413062";"Ożarowice * (2)";"5532";"2698";"2834";
"2413072";"Świerklaniec * (2)";"11408";"5562";"5846";
"2413082";"Tworóg * (2)";"8046";"3972";"4074";
"2413092";"Zbrosławice * (2)";"15654";"7816";"7838";
"2414011";"Bieruń * (1)";"19876";"9862";"10014";
"2414021";"Imielin * (1)";"8322";"4087";"4235";
"2414031";"Lędziny * (1)";"16426";"8177";"8249";
"2414042";"Bojszowy * (2)";"7048";"3469";"3579";
"2414052";"Chełm Śląski * (2)";"6023";"2883";"3140";
"2415011";"Pszów * (1)";"14418";"7076";"7342";
"2415021";"Radlin * (1)";"18105";"8751";"9354";
"2415031";"Rydułtowy * (1)";"22070";"10663";"11407";
"2415041";"Wodzisław Śląski * (1)";"49346";"23807";"25539";
"2415052";"Godów * (2)";"13073";"6403";"6670";
"2415062";"Gorzyce * (2)";"20428";"10104";"10324";
"2415072";"Lubomia * (2)";"8086";"3916";"4170";
"2415082";"Marklowice * (2)";"5365";"2641";"2724";
"2415092";"Mszana * (2)";"7302";"3640";"3662";
"2416011";"Poręba * (1)";"8861";"4209";"4652";
"2416021";"Zawiercie * (1)";"52091";"24726";"27365";
"2416032";"Irządze * (2)";"2811";"1399";"1412";
"2416042";"Kroczyce * (2)";"6315";"3176";"3139";
"2416053";"Łazy * (3)";"16207";"7883";"8324";
"2416063";"Ogrodzieniec * (3)";"9453";"4594";"4859";
"2416073";"Pilica * (3)";"8992";"4494";"4498";
"2416083";"Szczekociny * (3)";"8192";"4035";"4157";
"2416092";"Włodowice * (2)";"5271";"2586";"2685";
"2416102";"Żarnowiec * (2)";"4828";"2421";"2407";
"2417011";"Żywiec * (1)";"32449";"15609";"16840";
"2417022";"Czernichów * (2)";"6695";"3240";"3455";
"2417032";"Gilowice * (2)";"5976";"2918";"3058";
"2417042";"Jeleśnia * (2)";"13587";"6769";"6818";
"2417052";"Koszarawa * (2)";"2468";"1229";"1239";
"2417062";"Lipowa * (2)";"10163";"4918";"5245";
"2417072";"Łękawica * (2)";"4426";"2182";"2244";
"2417082";"Łodygowice * (2)";"13665";"6673";"6992";
"2417092";"Milówka * (2)";"10108";"4962";"5146";
"2417102";"Radziechowy-Wieprz * (2)";"12886";"6316";"6570";
"2417112";"Rajcza * (2)";"9232";"4511";"4721";
"2417122";"Ślemień * (2)";"3463";"1693";"1770";
"2417132";"Świnna * (2)";"8039";"3924";"4115";
"2417142";"Ujsoły * (2)";"4733";"2379";"2354";
"2417152";"Węgierska Górka * (2)";"15042";"7473";"7569";
"2461011";"Bielsko-Biała * (1)";"174534";"82307";"92227";
"2462011";"Bytom * (1)";"176902";"84981";"91921";
"2463011";"Chorzów * (1)";"111693";"53230";"58463";
"2464011";"Częstochowa * (1)";"236796";"111364";"125432";
"2465011";"Dąbrowa Górnicza * (1)";"125905";"60668";"65237";
"2466011";"Gliwice * (1)";"187475";"90417";"97058";
"2467011";"Jastrzębie-Zdrój * (1)";"92465";"45462";"47003";
"2468011";"Jaworzno * (1)";"94732";"46038";"48694";
"2469011";"Katowice * (1)";"310764";"147833";"162931";
"2470011";"Mysłowice * (1)";"75446";"36654";"38792";
"2471011";"Piekary Śląskie * (1)";"57917";"27835";"30082";
"2472011";"Ruda Śląska * (1)";"142510";"69229";"73281";
"2473011";"Rybnik * (1)";"140924";"68847";"72077";
"2474011";"Siemianowice Śląskie * (1)";"70169";"33632";"36537";
"2475011";"Sosnowiec * (1)";"216421";"102827";"113594";
"2476011";"Świętochłowice * (1)";"53150";"25601";"27549";
"2477011";"Tychy * (1)";"129378";"62650";"66728";
"2478011";"Zabrze * (1)";"181128";"87656";"93472";
"2479011";"Żory * (1)";"62095";"30581";"31514";
"2601013";"Busko-Zdrój * (3)";"32995";"15806";"17189";
"2601022";"Gnojno * (2)";"4624";"2377";"2247";
"2601032";"Nowy Korczyn * (2)";"6389";"3161";"3228";
"2601042";"Pacanów * (2)";"7829";"3793";"4036";
"2601052";"Solec-Zdrój * (2)";"5120";"2518";"2602";
"2601062";"Stopnica * (2)";"7936";"3926";"4010";
"2601072";"Tuczępy * (2)";"3840";"1915";"1925";
"2601082";"Wiślica * (2)";"5779";"2843";"2936";
"2602012";"Imielno * (2)";"4485";"2229";"2256";
"2602023";"Jędrzejów * (3)";"29120";"14134";"14986";
"2602033";"Małogoszcz * (3)";"11807";"5930";"5877";
"2602042";"Nagłowice * (2)";"5220";"2610";"2610";
"2602052";"Oksa * (2)";"4794";"2406";"2388";
"2602063";"Sędziszów * (3)";"12997";"6441";"6556";
"2602072";"Słupia * (2)";"4408";"2192";"2216";
"2602082";"Sobków * (2)";"8442";"4267";"4175";
"2602092";"Wodzisław * (2)";"7478";"3728";"3750";
"2603012";"Bejsce * (2)";"4324";"2093";"2231";
"2603022";"Czarnocin * (2)";"4059";"2028";"2031";
"2603033";"Kazimierza Wielka * (3)";"16960";"8265";"8695";
"2603042";"Opatowiec * (2)";"3517";"1749";"1768";
"2603053";"Skalbmierz * (3)";"6879";"3432";"3447";
"2604012";"Bieliny * (2)";"10110";"5048";"5062";
"2604023";"Bodzentyn * (3)";"11799";"5888";"5911";
"2604033";"Chęciny * (3)";"15085";"7472";"7613";
"2604043";"Chmielnik * (3)";"11550";"5800";"5750";
"2604053";"Daleszyce * (3)";"15459";"7718";"7741";
"2604062";"Górno * (2)";"13527";"6739";"6788";
"2604072";"Łagów * (2)";"6999";"3592";"3407";
"2604082";"Łopuszno * (2)";"9056";"4556";"4500";
"2604092";"Masłów * (2)";"10328";"5216";"5112";
"2604102";"Miedziana Góra * (2)";"10706";"5251";"5455";
"2604112";"Mniów * (2)";"9391";"4615";"4776";
"2604122";"Morawica * (2)";"14702";"7404";"7298";
"2604132";"Nowa Słupia * (2)";"9784";"4859";"4925";
"2604142";"Piekoszów * (2)";"15861";"7832";"8029";
"2604152";"Pierzchnica * (2)";"4805";"2417";"2388";
"2604162";"Raków * (2)";"5848";"2985";"2863";
"2604172";"Sitkówka-Nowiny * (2)";"7439";"3659";"3780";
"2604182";"Strawczyn * (2)";"10181";"5099";"5082";
"2604192";"Zagnańsk * (2)";"12870";"6333";"6537";
"2605012";"Fałków * (2)";"4766";"2397";"2369";
"2605022";"Gowarczów * (2)";"4736";"2380";"2356";
"2605033";"Końskie * (3)";"37018";"18001";"19017";
"2605042";"Radoszyce * (2)";"9257";"4680";"4577";
"2605052";"Ruda Maleniecka * (2)";"3294";"1633";"1661";
"2605062";"Słupia (Konecka) * (2)";"3519";"1848";"1671";
"2605072";"Smyków * (2)";"3767";"1906";"1861";
"2605083";"Stąporków * (3)";"18171";"8890";"9281";
"2606012";"Baćkowice * (2)";"5119";"2607";"2512";
"2606022";"Iwaniska * (2)";"6987";"3562";"3425";
"2606032";"Lipnik * (2)";"5676";"2812";"2864";
"2606043";"Opatów * (3)";"12450";"5973";"6477";
"2606053";"Ożarów * (3)";"11300";"5584";"5716";
"2606062";"Sadowie * (2)";"4196";"2045";"2151";
"2606072";"Tarłów * (2)";"5581";"2723";"2858";
"2606082";"Wojciechowice * (2)";"4352";"2190";"2162";
"2607011";"Ostrowiec Świętokrzyski * (1)";"73677";"35044";"38633";
"2607022";"Bałtów * (2)";"3820";"1889";"1931";
"2607032";"Bodzechów * (2)";"13725";"6712";"7013";
"2607043";"Ćmielów * (3)";"7812";"3785";"4027";
"2607053";"Kunów * (3)";"10117";"4996";"5121";
"2607062";"Waśniów * (2)";"7126";"3575";"3551";
"2608013";"Działoszyce * (3)";"5357";"2672";"2685";
"2608022";"Kije * (2)";"4526";"2244";"2282";
"2608032";"Michałów * (2)";"4830";"2454";"2376";
"2608043";"Pińczów * (3)";"21813";"10727";"11086";
"2608052";"Złota * (2)";"4785";"2335";"2450";
"2609011";"Sandomierz * (1)";"24894";"11639";"13255";
"2609022";"Dwikozy * (2)";"9129";"4458";"4671";
"2609032";"Klimontów * (2)";"8583";"4315";"4268";
"2609043";"Koprzywnica * (3)";"7016";"3470";"3546";
"2609052";"Łoniów * (2)";"7507";"3797";"3710";
"2609062";"Obrazów * (2)";"6694";"3277";"3417";
"2609072";"Samborzec * (2)";"8812";"4399";"4413";
"2609082";"Wilczyce * (2)";"3851";"1957";"1894";
"2609093";"Zawichost * (3)";"4706";"2307";"2399";
"2610011";"Skarżysko-Kamienna * (1)";"48580";"23154";"25426";
"2610022";"Bliżyn * (2)";"8521";"4185";"4336";
"2610032";"Łączna * (2)";"5337";"2656";"2681";
"2610042";"Skarżysko Kościelne * (2)";"6291";"3081";"3210";
"2610053";"Suchedniów * (3)";"10741";"5237";"5504";
"2611011";"Starachowice * (1)";"52359";"24985";"27374";
"2611022";"Brody * (2)";"11165";"5435";"5730";
"2611032";"Mirzec * (2)";"8445";"4246";"4199";
"2611042";"Pawłów * (2)";"15320";"7715";"7605";
"2611053";"Wąchock * (3)";"7167";"3483";"3684";
"2612012";"Bogoria * (2)";"7975";"3961";"4014";
"2612022";"Łubnice * (2)";"4358";"2137";"2221";
"2612032";"Oleśnica * (2)";"3970";"1984";"1986";
"2612043";"Osiek * (3)";"7872";"3982";"3890";
"2612053";"Połaniec * (3)";"12084";"5995";"6089";
"2612062";"Rytwiany * (2)";"6440";"3196";"3244";
"2612073";"Staszów * (3)";"26749";"13134";"13615";
"2612082";"Szydłów * (2)";"4841";"2455";"2386";
"2613012";"Kluczewsko * (2)";"5280";"2681";"2599";
"2613022";"Krasocin * (2)";"10837";"5498";"5339";
"2613032";"Moskorzew * (2)";"2803";"1430";"1373";
"2613042";"Radków * (2)";"2575";"1283";"1292";
"2613052";"Secemin * (2)";"4997";"2481";"2516";
"2613063";"Włoszczowa * (3)";"20347";"9967";"10380";
"2661011";"Kielce * (1)";"202196";"95509";"106687";
"2801011";"Bartoszyce * (1)";"25022";"11872";"13150";
"2801021";"Górowo Iławeckie * (1)";"4424";"2187";"2237";
"2801032";"Bartoszyce * (2)";"11045";"5598";"5447";
"2801043";"Bisztynek * (3)";"6829";"3359";"3470";
"2801052";"Górowo Iławeckie * (2)";"7189";"3606";"3583";
"2801063";"Sępopol * (3)";"6779";"3386";"3393";
"2802011";"Braniewo * (1)";"17778";"8681";"9097";
"2802022";"Braniewo * (2)";"6379";"3263";"3116";
"2802033";"Frombork * (3)";"3758";"1846";"1912";
"2802042";"Lelkowo * (2)";"3086";"1517";"1569";
"2802053";"Pieniężno * (3)";"6746";"3507";"3239";
"2802062";"Płoskinia * (2)";"2653";"1321";"1332";
"2802072";"Wilczęta * (2)";"3144";"1599";"1545";
"2803011";"Działdowo * (1)";"21619";"10433";"11186";
"2803022";"Działdowo * (2)";"9777";"4927";"4850";
"2803032";"Iłowo-Osada * (2)";"7369";"3570";"3799";
"2803043";"Lidzbark * (3)";"14739";"7291";"7448";
"2803052";"Płośnica * (2)";"5950";"2979";"2971";
"2803062";"Rybno * (2)";"7372";"3690";"3682";
"2804012";"Elbląg * (2)";"7150";"3652";"3498";
"2804022";"Godkowo * (2)";"3328";"1668";"1660";
"2804032";"Gronowo Elbląskie * (2)";"5173";"2567";"2606";
"2804042";"Markusy * (2)";"4219";"2139";"2080";
"2804052";"Milejewo * (2)";"3200";"1604";"1596";
"2804063";"Młynary * (3)";"4634";"2296";"2338";
"2804073";"Pasłęk * (3)";"19672";"9636";"10036";
"2804082";"Rychliki * (2)";"4112";"2085";"2027";
"2804093";"Tolkmicko * (3)";"6838";"3391";"3447";
"2805011";"Ełk * (1)";"59044";"28468";"30576";
"2805022";"Ełk * (2)";"10930";"5574";"5356";
"2805032";"Kalinowo * (2)";"7052";"3619";"3433";
"2805042";"Prostki * (2)";"7552";"3836";"3716";
"2805052";"Stare Juchy * (2)";"3974";"2037";"1937";
"2806011";"Giżycko * (1)";"30178";"14324";"15854";
"2806042";"Giżycko * (2)";"8028";"4052";"3976";
"2806052";"Kruklanki * (2)";"3139";"1594";"1545";
"2806062";"Miłki * (2)";"3919";"2005";"1914";
"2806083";"Ryn * (3)";"5888";"2970";"2918";
"2806102";"Wydminy * (2)";"6637";"3349";"3288";
"2807011";"Iława * (1)";"33321";"15983";"17338";
"2807021";"Lubawa * (1)";"9951";"4833";"5118";
"2807032";"Iława * (2)";"12612";"6385";"6227";
"2807043";"Kisielice * (3)";"6217";"3163";"3054";
"2807052";"Lubawa * (2)";"10572";"5384";"5188";
"2807063";"Susz * (3)";"13126";"6641";"6485";
"2807073";"Zalewo * (3)";"7116";"3585";"3531";
"2808011";"Kętrzyn * (1)";"28466";"13619";"14847";
"2808022";"Barciany * (2)";"6781";"3445";"3336";
"2808032";"Kętrzyn * (2)";"8439";"4300";"4139";
"2808043";"Korsze * (3)";"10613";"5291";"5322";
"2808053";"Reszel * (3)";"8219";"4017";"4202";
"2808062";"Srokowo * (2)";"4118";"2090";"2028";
"2809011";"Lidzbark Warmiński * (1)";"16639";"7978";"8661";
"2809022";"Kiwity * (2)";"3429";"1767";"1662";
"2809032";"Lidzbark Warmiński * (2)";"6803";"3485";"3318";
"2809042";"Lubomino * (2)";"3652";"1882";"1770";
"2809053";"Orneta * (3)";"12659";"6186";"6473";
"2810011";"Mrągowo * (1)";"22323";"10748";"11575";
"2810023";"Mikołajki * (3)";"8566";"4232";"4334";
"2810032";"Mrągowo * (2)";"7866";"3926";"3940";
"2810042";"Piecki * (2)";"7928";"3973";"3955";
"2810052";"Sorkwity * (2)";"4746";"2368";"2378";
"2811012";"Janowiec Kościelny * (2)";"3421";"1761";"1660";
"2811022";"Janowo * (2)";"2897";"1435";"1462";
"2811032";"Kozłowo * (2)";"6334";"3238";"3096";
"2811043";"Nidzica * (3)";"21712";"10705";"11007";
"2812011";"Nowe Miasto Lubawskie * (1)";"11166";"5296";"5870";
"2812022";"Biskupiec * (2)";"9647";"4884";"4763";
"2812032";"Grodziczno * (2)";"6402";"3236";"3166";
"2812042";"Kurzętnik * (2)";"9013";"4491";"4522";
"2812052";"Nowe Miasto Lubawskie * (2)";"8044";"4035";"4009";
"2813032";"Kowale Oleckie * (2)";"5436";"2808";"2628";
"2813043";"Olecko * (3)";"22163";"10821";"11342";
"2813052";"Świętajno * (2)";"3994";"2055";"1939";
"2813062";"Wieliczki * (2)";"3474";"1785";"1689";
"2814013";"Barczewo * (3)";"17083";"8519";"8564";
"2814023";"Biskupiec * (3)";"19309";"9398";"9911";
"2814033";"Dobre Miasto * (3)";"16199";"7933";"8266";
"2814042";"Dywity * (2)";"10453";"5163";"5290";
"2814052";"Gietrzwałd * (2)";"6019";"3067";"2952";
"2814063";"Jeziorany * (3)";"8075";"3965";"4110";
"2814072";"Jonkowo * (2)";"6634";"3360";"3274";
"2814082";"Kolno * (2)";"3422";"1714";"1708";
"2814093";"Olsztynek * (3)";"13947";"6887";"7060";
"2814102";"Purda * (2)";"8157";"4083";"4074";
"2814112";"Stawiguda * (2)";"6440";"3175";"3265";
"2814122";"Świątki * (2)";"4224";"2159";"2065";
"2815011";"Ostróda * (1)";"34060";"16187";"17873";
"2815022";"Dąbrówno * (2)";"4523";"2358";"2165";
"2815032";"Grunwald * (2)";"5837";"2991";"2846";
"2815042";"Łukta * (2)";"4496";"2287";"2209";
"2815052";"Małdyty * (2)";"6522";"3274";"3248";
"2815063";"Miłakowo * (3)";"5814";"2915";"2899";
"2815073";"Miłomłyn * (3)";"5102";"2542";"2560";
"2815083";"Morąg * (3)";"25245";"12492";"12753";
"2815092";"Ostróda * (2)";"15834";"8013";"7821";
"2816013";"Biała Piska * (3)";"12399";"6322";"6077";
"2816023";"Orzysz * (3)";"9600";"4845";"4755";
"2816033";"Pisz * (3)";"27957";"13903";"14054";
"2816043";"Ruciane-Nida * (3)";"8548";"4231";"4317";
"2817011";"Szczytno * (1)";"25254";"12084";"13170";
"2817022";"Dźwierzuty * (2)";"6818";"3426";"3392";
"2817032";"Jedwabno * (2)";"3700";"1863";"1837";
"2817043";"Pasym * (3)";"5391";"2701";"2690";
"2817052";"Rozogi * (2)";"5816";"2991";"2825";
"2817062";"Szczytno * (2)";"11706";"5909";"5797";
"2817072";"Świętajno * (2)";"6116";"3084";"3032";
"2817082";"Wielbark * (2)";"6564";"3390";"3174";
"2818012";"Banie Mazurskie * (2)";"3967";"1989";"1978";
"2818022";"Dubeninki * (2)";"3132";"1544";"1588";
"2818033";"Gołdap * (3)";"20466";"10194";"10272";
"2819012";"Budry * (2)";"3003";"1546";"1457";
"2819022";"Pozezdrze * (2)";"3441";"1729";"1712";
"2819033";"Węgorzewo * (3)";"17371";"8720";"8651";
"2861011";"Elbląg * (1)";"124668";"59724";"64944";
"2862011";"Olsztyn * (1)";"174645";"81462";"93183";
"3001011";"Chodzież * (1)";"19715";"9358";"10357";
"3001022";"Budzyń * (2)";"8405";"4253";"4152";
"3001032";"Chodzież * (2)";"5741";"2906";"2835";
"3001043";"Margonin * (3)";"6426";"3237";"3189";
"3001053";"Szamocin * (3)";"7550";"3778";"3772";
"3002011";"Czarnków * (1)";"11543";"5632";"5911";
"3002022";"Czarnków * (2)";"11054";"5579";"5475";
"3002032";"Drawsko * (2)";"6015";"3025";"2990";
"3002043";"Krzyż Wielkopolski * (3)";"8824";"4340";"4484";
"3002052";"Lubasz * (2)";"7337";"3696";"3641";
"3002062";"Połajewo * (2)";"6254";"3167";"3087";
"3002073";"Trzcianka * (3)";"24490";"12041";"12449";
"3002083";"Wieleń * (3)";"12787";"6298";"6489";
"3003011";"Gniezno * (1)";"70322";"33832";"36490";
"3003023";"Czerniejewo * (3)";"7172";"3655";"3517";
"3003032";"Gniezno * (2)";"9833";"4931";"4902";
"3003042";"Kiszkowo * (2)";"5352";"2733";"2619";
"3003053";"Kłecko * (3)";"7580";"3754";"3826";
"3003062";"Łubowo * (2)";"5952";"2964";"2988";
"3003072";"Mieleszyn * (2)";"4061";"1981";"2080";
"3003082";"Niechanowo * (2)";"5594";"2793";"2801";
"3003093";"Trzemeszno * (3)";"14366";"7200";"7166";
"3003103";"Witkowo * (3)";"13721";"6833";"6888";
"3004013";"Borek Wielkopolski * (3)";"7659";"3825";"3834";
"3004023";"Gostyń * (3)";"27914";"13618";"14296";
"3004033";"Krobia * (3)";"13010";"6482";"6528";
"3004042";"Pępowo * (2)";"6017";"3037";"2980";
"3004052";"Piaski * (2)";"8502";"4209";"4293";
"3004063";"Pogorzela * (3)";"5162";"2569";"2593";
"3004073";"Poniec * (3)";"7975";"3929";"4046";
"3005012";"Granowo * (2)";"5019";"2518";"2501";
"3005023";"Grodzisk Wielkopolski * (3)";"19241";"9497";"9744";
"3005032";"Kamieniec * (2)";"6491";"3257";"3234";
"3005043";"Rakoniewice * (3)";"12833";"6426";"6407";
"3005053";"Wielichowo * (3)";"6848";"3429";"3419";
"3006012";"Jaraczewo * (2)";"8368";"4066";"4302";
"3006023";"Jarocin * (3)";"45330";"21984";"23346";
"3006032";"Kotlin * (2)";"7193";"3581";"3612";
"3006043";"Żerków * (3)";"10538";"5284";"5254";
"3007012";"Blizanów * (2)";"9626";"4689";"4937";
"3007022";"Brzeziny * (2)";"5840";"2877";"2963";
"3007032";"Ceków-Kolonia * (2)";"4775";"2364";"2411";
"3007042";"Godziesze Wielkie * (2)";"8887";"4429";"4458";
"3007052";"Koźminek * (2)";"7525";"3746";"3779";
"3007062";"Lisków * (2)";"5412";"2614";"2798";
"3007072";"Mycielin * (2)";"4890";"2450";"2440";
"3007082";"Opatówek * (2)";"10690";"5247";"5443";
"3007093";"Stawiszyn * (3)";"7298";"3520";"3778";
"3007102";"Szczytniki * (2)";"7960";"3952";"4008";
"3007112";"Żelazków * (2)";"9217";"4516";"4701";
"3008012";"Baranów * (2)";"7734";"3857";"3877";
"3008022";"Bralin * (2)";"5945";"3009";"2936";
"3008033";"Kępno * (3)";"24801";"12087";"12714";
"3008042";"Łęka Opatowska * (2)";"5325";"2693";"2632";
"3008052";"Perzów * (2)";"3848";"1927";"1921";
"3008062";"Rychtal * (2)";"3955";"1993";"1962";
"3008072";"Trzcinica * (2)";"4829";"2404";"2425";
"3009011";"Koło * (1)";"23360";"11003";"12357";
"3009022";"Babiak * (2)";"8036";"4014";"4022";
"3009032";"Chodów * (2)";"3392";"1686";"1706";
"3009043";"Dąbie * (3)";"6601";"3294";"3307";
"3009052";"Grzegorzew * (2)";"5678";"2773";"2905";
"3009063";"Kłodawa * (3)";"13448";"6616";"6832";
"3009072";"Koło * (2)";"7437";"3755";"3682";
"3009082";"Kościelec * (2)";"6607";"3328";"3279";
"3009092";"Olszówka * (2)";"4696";"2332";"2364";
"3009102";"Osiek Mały * (2)";"5957";"2961";"2996";
"3009113";"Przedecz * (3)";"4337";"2148";"2189";
"3010013";"Golina * (3)";"11774";"5866";"5908";
"3010022";"Grodziec * (2)";"5267";"2623";"2644";
"3010032";"Kazimierz Biskupi * (2)";"11072";"5511";"5561";
"3010043";"Kleczew * (3)";"9967";"4885";"5082";
"3010052";"Kramsk * (2)";"10586";"5242";"5344";
"3010062";"Krzymów * (2)";"7438";"3633";"3805";
"3010073";"Rychwał * (3)";"8363";"4119";"4244";
"3010082";"Rzgów * (2)";"7062";"3495";"3567";
"3010092";"Skulsk * (2)";"6258";"3141";"3117";
"3010103";"Sompolno * (3)";"10553";"5232";"5321";
"3010112";"Stare Miasto * (2)";"11238";"5627";"5611";
"3010123";"Ślesin * (3)";"13828";"6861";"6967";
"3010132";"Wierzbinek * (2)";"7654";"3872";"3782";
"3010142";"Wilczyn * (2)";"6402";"3177";"3225";
"3011011";"Kościan * (1)";"24194";"11574";"12620";
"3011023";"Czempiń * (3)";"11392";"5572";"5820";
"3011032";"Kościan * (2)";"15537";"7772";"7765";
"3011043";"Krzywiń * (3)";"10059";"4985";"5074";
"3011053";"Śmigiel * (3)";"17624";"8764";"8860";
"3012011";"Sulmierzyce * (1)";"2876";"1435";"1441";
"3012023";"Kobylin * (3)";"8146";"4098";"4048";
"3012033";"Koźmin Wielkopolski * (3)";"13662";"6689";"6973";
"3012043";"Krotoszyn * (3)";"40799";"19851";"20948";
"3012052";"Rozdrażew * (2)";"5180";"2571";"2609";
"3012063";"Zduny * (3)";"7277";"3630";"3647";
"3013012";"Krzemieniewo * (2)";"8421";"4245";"4176";
"3013022";"Lipno * (2)";"6769";"3388";"3381";
"3013033";"Osieczna * (3)";"8880";"4397";"4483";
"3013043";"Rydzyna * (3)";"8449";"4230";"4219";
"3013052";"Święciechowa * (2)";"7466";"3716";"3750";
"3013062";"Wijewo * (2)";"3707";"1889";"1818";
"3013072";"Włoszakowice * (2)";"8915";"4390";"4525";
"3014012";"Chrzypsko Wielkie * (2)";"3382";"1687";"1695";
"3014022";"Kwilcz * (2)";"6261";"3130";"3131";
"3014033";"Międzychód * (3)";"18623";"9210";"9413";
"3014043";"Sieraków * (3)";"8797";"4344";"4453";
"3015012";"Kuślin * (2)";"5625";"2824";"2801";
"3015023";"Lwówek * (3)";"9337";"4631";"4706";
"3015032";"Miedzichowo * (2)";"3685";"1823";"1862";
"3015043";"Nowy Tomyśl * (3)";"25245";"12242";"13003";
"3015053";"Opalenica * (3)";"16047";"7908";"8139";
"3015063";"Zbąszyń * (3)";"13565";"6590";"6975";
